Player,Age,Team,Pos,G,GS,Att,Yds,TD,Rec,Tgt,Y/R,Touch,YScm,RRTD,Fmb,FP
Saquon Barkley,27,PHI,RB,12.333333333333334,12.333333333333334,214.16666666666666,276.1666666666667,1.6666666666666667,38.333333333333336,7.649999999999999,53.0,252.5,1261.0,7.833333333333333,1.3333333333333333,208.76666666666668
Derrick Henry,30,BAL,RB,15.125,12.875,280.625,189.25,0.625,20.125,9.3625,26.125,300.75,1555.875,13.25,2.5,250.2125
Jahmyr Gibbs,22,DET,RB,17.0,4.0,250.0,517.0,4.0,52.0,9.9,63.0,302.0,1929.0,20.0,1.0,362.9
Bijan Robinson,22,ATL,RB,17.0,17.0,304.0,431.0,1.0,61.0,7.1,72.0,365.0,1887.0,15.0,1.0,337.70000000000005
Ja'Marr Chase,24,CIN,WR,15.0,14.666666666666666,3.6666666666666665,11.333333333333334,0.0,104.66666666666667,12.533333333333333,151.33333333333334,108.33333333333333,1334.6666666666667,11.0,1.0,302.1333333333333
Josh Jacobs,26,GNB,RB,15.4,15.2,272.8,324.8,0.2,42.6,7.720000000000001,54.0,315.4,1469.6,11.0,2.8,249.96
Jonathan Taylor,25,IND,RB,13.0,12.0,249.0,198.0,1.0,26.25,7.449999999999999,36.25,275.25,1409.0,11.0,3.0,227.15
Aaron Jones,30,MIN,RB,14.571428571428571,14.0,193.0,351.7142857142857,2.857142857142857,44.857142857142854,7.885714285714286,58.285714285714285,237.85714285714286,1298.857142857143,9.428571428571429,2.857142857142857,225.60000000000002
Justin Jefferson,25,MIN,WR,15.25,15.0,3.0,7.25,0.25,101.75,14.950000000000001,151.25,104.75,1515.25,8.5,0.75,302.775
James Conner,29,ARI,RB,13.285714285714286,11.571428571428571,189.85714285714286,316.7142857142857,1.5714285714285714,40.142857142857146,7.714285714285714,48.142857142857146,230.0,1149.0,10.0,2.2857142857142856,210.47142857142856
De'Von Achane,23,MIA,RB,17.0,16.0,203.0,592.0,6.0,78.0,7.6,87.0,281.0,1499.0,12.0,1.0,297.9
Alvin Kamara,29,NOR,RB,14.142857142857142,11.571428571428571,203.28571428571428,562.2857142857143,2.857142857142857,70.28571428571429,8.085714285714285,89.71428571428571,273.57142857142856,1426.7142857142858,10.285714285714286,1.5714285714285714,271.5285714285714
Kyren Williams,24,LAR,RB,14.0,13.5,272.0,194.0,2.5,33.0,5.9,44.0,305.0,1415.5,15.5,4.0,259.55
Chuba Hubbard,25,CAR,RB,15.666666666666666,9.666666666666666,194.33333333333334,191.66666666666666,0.3333333333333333,32.0,7.3999999999999995,38.333333333333336,226.33333333333334,1046.0,6.0,2.3333333333333335,167.93333333333337
Breece Hall,23,NYJ,RB,16.5,16.0,216.0,537.0,3.5,66.5,8.15,85.5,282.5,1472.0,8.5,4.0,256.70000000000005
Chase Brown,24,CIN,RB,16.0,10.0,229.0,360.0,4.0,54.0,6.7,65.0,283.0,1350.0,11.0,2.0,251.0
D'Andre Swift,25,CHI,RB,15.0,11.0,183.0,360.25,1.5,47.75,7.5249999999999995,62.25,230.75,1152.0,6.75,2.0,199.45
Rico Dowdle,26,DAL,RB,12.333333333333334,5.0,108.0,131.0,1.6666666666666667,18.666666666666668,7.45,23.666666666666668,126.66666666666667,611.0,3.0,1.0,95.76666666666667
Najee Harris,26,PIT,RB,17.0,17.0,263.3333333333333,227.33333333333334,1.0,35.333333333333336,6.466666666666666,46.333333333333336,298.6666666666667,1264.6666666666667,8.0,1.6666666666666667,206.46666666666667
Joe Mixon,28,HOU,RB,13.857142857142858,13.571428571428571,234.0,308.7142857142857,2.0,41.285714285714285,7.485714285714287,52.142857142857146,275.2857142857143,1280.4285714285713,10.0,0.42857142857142855,228.47142857142856
Tony Pollard,27,TEN,RB,16.0,7.8,187.2,290.0,0.8,40.4,7.3,53.0,227.6,1139.0,6.0,1.4,187.5
Amon-Ra St. Brown,25,DET,WR,16.333333333333332,16.333333333333332,5.0,41.666666666666664,0.0,113.33333333333333,11.566666666666668,150.33333333333334,118.33333333333333,1354.6666666666667,9.333333333333334,0.6666666666666666,303.4666666666667
Drake London,23,ATL,WR,16.5,16.5,0.5,-1.5,0.0,84.5,12.899999999999999,134.0,85.0,1086.5,5.5,0.0,226.15
James Cook,25,BUF,RB,16.5,14.5,222.0,351.5,3.0,38.0,9.1,46.0,260.0,1417.0,12.0,2.5,246.70000000000002
CeeDee Lamb,25,DAL,WR,16.25,15.5,11.75,76.5,0.5,105.5,12.850000000000001,152.25,117.25,1427.5,8.75,1.0,298.75
Jerry Jeudy,25,CLE,WR,14.5,11.5,1.5,10.75,0.0,62.25,13.625,97.0,63.75,867.25,3.0,0.5,165.97500000000002
Jaxon Smith-Njigba,22,SEA,WR,17.0,16.0,5.0,26.0,0.0,100.0,11.3,137.0,105.0,1156.0,6.0,1.0,249.60000000000002
Trey McBride,25,ARI,TE,16.5,14.0,0.5,1.0,0.5,96.0,10.25,126.5,96.5,986.5,3.0,0.5,211.65
David Montgomery,27,DET,RB,14.4,14.2,215.4,302.6,0.6,36.4,8.280000000000001,44.2,251.8,1204.6,9.6,1.6,211.26
Zay Flowers,24,BAL,WR,17.0,15.0,9.0,56.0,0.0,74.0,14.3,116.0,83.0,1115.0,4.0,0.0,209.5
Garrett Wilson,24,NYJ,WR,17.0,17.0,3.0,2.5,0.0,98.0,10.95,161.0,101.0,1075.5,5.0,2.0,231.55
George Kittle,31,SFO,TE,14.0,14.0,1.7142857142857142,10.142857142857142,0.0,70.71428571428571,13.814285714285715,95.71428571428571,72.42857142857143,990.8571428571429,6.142857142857143,0.5714285714285714,205.51428571428573
Terry McLaurin,29,WAS,WR,16.6,16.6,2.4,14.6,0.0,80.4,13.64,126.6,82.8,1106.6,6.2,0.6,227.06
Courtland Sutton,29,DEN,WR,13.666666666666666,12.166666666666666,0.6666666666666666,3.6666666666666665,0.0,56.166666666666664,15.033333333333331,93.66666666666667,56.833333333333336,776.3333333333334,4.666666666666667,1.0,159.8
A.J. Brown,27,PHI,WR,14.8,14.2,0.4,2.0,0.0,78.8,15.2,122.2,79.2,1197.0,8.2,1.2,245.29999999999998
Calvin Ridley,30,TEN,WR,13.4,12.2,4.8,22.6,0.2,64.8,13.48,108.8,69.6,933.4,6.2,0.6,194.14
Davante Adams,32,NYJ,WR,13.5,13.333333333333334,0.25,-0.08333333333333333,0.0,83.66666666666667,12.258333333333331,131.91666666666666,83.91666666666667,1038.3333333333333,9.0,0.5,240.5
Davante Adams,32,NYJ,WR,13.5,13.333333333333334,0.25,-0.08333333333333333,0.0,83.66666666666667,12.258333333333331,131.91666666666666,83.91666666666667,1038.3333333333333,9.0,0.5,240.5
Davante Adams,32,NYJ,WR,13.5,13.333333333333334,0.25,-0.08333333333333333,0.0,83.66666666666667,12.258333333333331,131.91666666666666,83.91666666666667,1038.3333333333333,9.0,0.5,240.5
Jameson Williams,23,DET,WR,13.5,10.5,7.0,45.0,1.0,41.0,16.05,66.5,48.0,722.5,5.5,0.5,145.25
J.K. Dobbins,26,LAC,RB,7.333333333333333,6.666666666666667,98.33333333333333,70.0,0.3333333333333333,13.666666666666666,6.1000000000000005,16.333333333333332,112.0,552.3333333333334,4.333333333333333,0.0,94.9
Jakobi Meyers,28,LVR,WR,15.2,13.8,2.2,10.8,0.4,73.4,11.6,107.6,75.6,857.4,4.4,0.8,183.94000000000003
D.J. Moore,27,CHI,WR,16.333333333333332,16.166666666666668,7.333333333333333,43.166666666666664,0.16666666666666666,83.83333333333333,13.700000000000001,135.0,91.16666666666667,1167.0,5.666666666666667,0.8333333333333334,232.86666666666667
Puka Nacua,23,LAR,WR,11.0,11.0,11.0,46.0,1.0,79.0,12.5,106.0,90.0,1036.0,4.0,0.0,206.60000000000002
Jayden Reed,24,GNB,WR,17.0,10.0,20.0,163.0,1.0,55.0,15.6,75.0,75.0,1020.0,7.0,3.0,193.0
Tyreek Hill,30,MIA,WR,15.625,15.25,11.25,69.0,0.5,92.125,14.35,136.125,103.375,1382.125,10.0,0.875,288.5875
Nico Collins,25,HOU,WR,12.333333333333334,9.666666666666666,0.3333333333333333,2.3333333333333335,0.0,61.666666666666664,14.666666666666666,91.33333333333333,62.0,930.3333333333334,5.666666666666667,0.3333333333333333,188.03333333333336
Rachaad White,25,TAM,RB,16.5,16.0,208.0,471.0,4.5,57.5,8.15,63.5,265.5,1272.5,9.0,3.0,232.75
Mike Evans,31,TAM,WR,15.3,15.2,0.1,1.0,0.0,76.8,15.169999999999998,130.9,76.9,1164.3,9.3,0.4,248.23000000000002
D.K. Metcalf,27,SEA,WR,16.2,15.6,0.2,1.2,0.0,76.0,14.419999999999998,125.2,76.2,1086.0,8.2,1.2,231.4
Darnell Mooney,27,ATL,WR,15.0,14.0,2.25,9.75,0.25,54.0,13.55,92.0,56.25,748.25,3.25,0.0,148.325
Jauan Jennings,27,SFO,WR,14.666666666666666,5.333333333333333,0.0,0.0,0.0,43.666666666666664,12.833333333333334,67.33333333333333,43.666666666666664,552.0,2.6666666666666665,0.6666666666666666,113.53333333333335
Rhamondre Stevenson,26,NWE,RB,14.666666666666666,11.0,191.0,275.6666666666667,0.6666666666666666,46.666666666666664,5.833333333333333,60.0,237.66666666666666,1095.6666666666667,6.0,4.0,184.23333333333335
Brian Robinson Jr.,25,WAS,RB,14.5,14.0,182.5,263.5,2.0,28.0,9.1,34.0,210.5,1029.5,8.5,3.0,175.95
Lamar Jackson,27,BAL,QB,14.5,14.5,144.5,0.0,0.0,0.0,,0.0,144.5,913.0,4.666666666666667,8.5,102.30000000000001
Tee Higgins,25,CIN,WR,13.5,12.0,0.0,0.0,0.0,65.75,14.175,101.0,65.75,921.75,7.0,0.5,198.925
Zach Charbonnet,23,SEA,RB,17.0,6.0,135.0,340.0,1.0,42.0,8.1,52.0,177.0,909.0,9.0,0.0,186.9
Kareem Hunt,29,KAN,RB,12.571428571428571,4.285714285714286,136.85714285714286,230.14285714285714,2.0,28.0,8.200000000000001,36.285714285714285,164.85714285714286,778.2857142857143,7.571428571428571,0.5714285714285714,150.11428571428573
Jordan Addison,22,MIN,WR,15.0,15.0,3.0,20.0,1.0,63.0,13.9,99.0,66.0,895.0,10.0,0.0,212.5
George Pickens,23,PIT,WR,15.5,14.0,2.5,6.0,0.0,61.0,16.700000000000003,104.5,63.5,1026.0,4.0,2.0,183.60000000000002
Jonnu Smith,29,MIA,TE,15.428571428571429,10.142857142857142,2.7142857142857144,18.0,0.14285714285714285,41.285714285714285,11.071428571428571,57.57142857142857,44.0,468.0,3.857142857142857,0.8571428571428571,109.51428571428572
Jordan Mason,25,SFO,RB,14.5,3.0,96.5,61.0,0.0,7.0,9.3,9.0,103.5,558.5,3.0,1.5,77.85
Kenneth Walker III,24,SEA,RB,13.0,13.0,186.0,279.0,1.0,37.5,7.7,45.0,223.5,1018.0,8.5,1.0,188.3
Javonte Williams,24,DEN,RB,12.333333333333334,9.333333333333334,134.33333333333334,216.66666666666666,0.6666666666666666,38.333333333333336,5.466666666666666,50.0,172.66666666666666,713.6666666666666,3.0,1.3333333333333333,125.03333333333332
DeVonta Smith,26,PHI,WR,15.333333333333334,15.333333333333334,0.3333333333333333,0.3333333333333333,0.0,81.33333333333333,12.699999999999998,112.33333333333333,81.66666666666667,1032.0,7.333333333333333,0.6666666666666666,227.2
Khalil Shakir,24,BUF,WR,16.0,9.5,1.5,7.0,0.0,57.5,13.25,72.5,59.0,723.0,3.0,1.0,145.8
Travis Kelce,35,KAN,TE,15.818181818181818,15.272727272727273,0.8181818181818182,1.3636363636363635,0.18181818181818182,91.27272727272727,12.136363636363637,127.27272727272727,92.0909090909091,1106.0,7.181818181818182,1.3636363636363635,242.23636363636365
Alec Pierce,24,IND,WR,16.5,14.5,0.0,0.0,0.0,34.5,19.200000000000003,67.0,34.5,669.0,4.5,0.0,128.4
Jaylen Warren,26,PIT,RB,16.0,0.0,134.5,340.0,0.0,49.5,7.1499999999999995,60.5,184.0,987.5,2.5,3.0,157.25
Tank Bigsby,23,JAX,RB,16.0,1.0,168.0,54.0,0.0,7.0,7.7,12.0,175.0,820.0,7.0,4.0,123.0
Josh Downs,23,IND,WR,14.0,8.0,1.0,12.0,0.0,72.0,11.2,107.0,73.0,815.0,5.0,0.0,183.5
Travis Etienne,25,JAX,RB,16.0,16.0,208.5,365.0,0.5,48.5,7.35,62.5,257.0,1148.0,7.0,0.5,204.3
Michael Pittman Jr.,27,IND,WR,16.25,15.5,2.0,18.5,0.0,91.25,10.975000000000001,134.25,93.25,1010.25,4.25,1.5,214.775
Deebo Samuel,28,SFO,WR,13.2,12.4,37.6,196.8,3.4,55.4,13.86,85.8,93.0,994.8,7.2,2.0,194.07999999999998
Jerome Ford,25,CLE,RB,15.5,9.0,154.0,272.0,2.5,40.5,6.699999999999999,53.0,194.5,961.0,6.0,0.5,171.60000000000002
Ray-Ray McCloud,28,ATL,WR,14.0,3.8333333333333335,3.8333333333333335,44.5,0.16666666666666666,24.5,10.16,35.833333333333336,28.333333333333332,280.8333333333333,0.5,2.6666666666666665,50.24999999999999
Rashod Bateman,25,BAL,WR,13.0,10.333333333333334,0.3333333333333333,6.0,0.0,30.666666666666668,15.766666666666666,52.0,31.0,475.3333333333333,4.0,0.3333333333333333,101.53333333333333
Jaylen Waddle,26,MIA,WR,15.333333333333334,15.333333333333334,3.3333333333333335,16.666666666666668,0.0,68.33333333333333,15.0,101.33333333333333,71.66666666666667,1054.6666666666667,4.666666666666667,0.3333333333333333,201.13333333333335
Keenan Allen,32,CHI,WR,12.636363636363637,12.272727272727273,1.6363636363636365,10.272727272727273,0.0,82.0909090909091,11.190909090909091,120.45454545454545,83.72727272727273,940.0909090909091,5.2727272727272725,1.3636363636363635,205.00909090909093
Antonio Gibson,26,NWE,RB,16.0,6.25,148.0,310.5,1.75,39.75,7.949999999999999,49.5,187.75,907.0,4.75,3.25,152.45
Austin Ekeler,29,WAS,RB,14.142857142857142,10.571428571428571,145.71428571428572,567.2857142857143,3.857142857142857,64.0,9.085714285714287,80.28571428571429,209.71428571428572,1204.7142857142858,9.714285714285714,3.142857142857143,236.4714285714286
Tyler Allgeier,24,ATL,RB,17.0,1.5,161.5,140.5,0.5,15.5,8.75,18.0,177.0,804.0,4.0,0.0,119.9
Sam LaPorta,23,DET,TE,16.0,16.0,0.0,0.0,0.0,60.0,12.1,83.0,60.0,726.0,7.0,0.0,174.60000000000002
Cooper Kupp,31,LAR,WR,12.714285714285714,11.857142857142858,3.7142857142857144,19.857142857142858,0.14285714285714285,81.71428571428571,12.071428571428571,113.85714285714286,85.42857142857143,1006.5714285714286,7.571428571428571,1.0,225.8
Quentin Johnston,23,LAC,WR,15.0,11.0,3.0,6.0,0.0,55.0,12.9,91.0,58.0,717.0,8.0,0.0,174.7
Wan'Dale Robinson,23,NYG,WR,16.0,7.5,6.0,52.5,0.5,76.5,8.15,109.0,82.5,664.5,2.5,0.0,157.95
Alexander Mattison,26,LVR,RB,15.2,5.2,123.2,186.0,1.4,25.2,7.479999999999999,32.8,148.4,651.6,4.2,1.0,113.56000000000002
Tucker Kraft,24,GNB,TE,17.0,17.0,3.0,6.0,0.0,50.0,14.1,70.0,53.0,713.0,7.0,1.0,161.3
Tank Dell,25,HOU,WR,14.0,10.0,9.0,43.0,0.0,51.0,13.1,81.0,60.0,710.0,3.0,0.0,140.0
Mark Andrews,29,BAL,TE,14.666666666666666,8.666666666666666,1.5,2.1666666666666665,0.0,67.0,12.333333333333334,97.0,68.5,831.8333333333334,8.0,1.1666666666666667,195.85
Hunter Henry,30,NWE,TE,13.0,11.125,0.0,0.0,0.0,44.875,11.385714285714286,65.375,44.875,506.125,4.0,0.25,118.98750000000001
Mike Gesicki,29,CIN,TE,16.5,6.166666666666667,0.0,0.0,0.0,50.5,10.85,77.66666666666667,50.5,554.0,3.6666666666666665,0.3333333333333333,127.23333333333333
Zach Ertz,34,WAS,TE,13.0,10.846153846153847,0.15384615384615385,0.6153846153846154,0.0,62.53846153846154,10.099999999999998,92.84615384615384,62.69230769230769,645.3846153846154,4.153846153846154,0.46153846153846156,151.07692307692307
Pat Freiermuth,26,PIT,TE,15.0,9.333333333333334,0.0,0.0,0.0,53.333333333333336,10.4,74.33333333333333,53.333333333333336,564.3333333333334,3.6666666666666665,1.0,129.76666666666668
Christian Watson,25,GNB,WR,12.0,12.0,4.0,17.0,0.0,28.5,18.25,53.0,32.5,538.0,3.5,0.5,102.30000000000001
Demario Douglas,24,NWE,WR,17.0,7.0,3.0,16.0,0.0,66.0,9.4,87.0,69.0,637.0,3.0,1.0,145.7
Jalen Hurts,26,PHI,QB,15.5,15.5,152.75,0.0,0.0,0.0,,0.25,152.75,694.75,13.0,9.0,129.47500000000002
Adam Thielen,34,CAR,WR,14.6,12.6,2.2,17.8,0.1,67.7,12.219999999999999,96.2,69.9,835.2,6.4,0.9,187.82000000000002
Justice Hill,27,BAL,RB,14.5,1.25,48.0,166.75,1.0,21.75,6.325000000000001,26.75,69.75,401.0,2.0,0.75,72.35
Jalen Tolbert,25,DAL,WR,17.0,10.5,0.0,0.0,0.0,35.5,12.3,57.5,35.5,439.0,4.5,0.5,105.4
DeAndre Hopkins,32,KAN,WR,13.692307692307692,12.384615384615385,0.46153846153846156,1.6153846153846154,0.0,76.0,12.715384615384616,121.07692307692308,76.46153846153847,984.1538461538462,6.615384615384615,1.0,212.10769230769233
DeAndre Hopkins,32,KAN,WR,13.692307692307692,12.384615384615385,0.46153846153846156,1.6153846153846154,0.0,76.0,12.715384615384616,121.07692307692308,76.46153846153847,984.1538461538462,6.615384615384615,1.0,212.10769230769233
DeAndre Hopkins,32,KAN,WR,13.692307692307692,12.384615384615385,0.46153846153846156,1.6153846153846154,0.0,76.0,12.715384615384616,121.07692307692308,76.46153846153847,984.1538461538462,6.615384615384615,1.0,212.10769230769233
Kyle Pitts,24,ATL,TE,14.666666666666666,13.333333333333334,0.3333333333333333,-1.3333333333333333,0.0,42.666666666666664,12.699999999999998,74.33333333333333,43.0,540.3333333333334,3.0,0.0,114.7
Romeo Doubs,24,GNB,WR,15.0,14.0,0.0,0.0,0.0,52.5,12.25,84.0,52.5,637.5,6.0,0.5,151.25
Tyler Lockett,32,SEA,WR,16.11111111111111,14.0,3.888888888888889,27.22222222222222,0.1111111111111111,67.77777777777777,13.233333333333334,96.55555555555556,71.66666666666667,908.3333333333334,6.222222222222222,0.6666666666666666,194.61111111111111
Cade Otton,25,TAM,TE,15.5,15.5,0.5,-2.0,0.0,53.0,9.95,77.0,53.5,525.5,4.0,1.5,126.55000000000001
Darius Slayton,27,NYG,WR,15.6,11.4,1.0,0.6,0.0,42.2,14.76,75.0,43.2,632.0,2.6,1.0,119.0
Kayshon Boutte,22,NWE,WR,15.0,13.0,0.0,0.0,0.0,43.0,13.7,68.0,43.0,589.0,3.0,0.0,119.9
Josh Palmer,25,LAC,WR,13.666666666666666,8.0,0.6666666666666666,3.3333333333333335,0.0,49.666666666666664,13.666666666666666,77.66666666666667,50.333333333333336,648.0,2.0,0.6666666666666666,125.13333333333334
Tre Tucker,23,LVR,WR,17.0,14.0,9.0,44.0,1.0,47.0,11.5,81.0,56.0,583.0,4.0,0.0,129.3
Chris Godwin,28,TAM,WR,13.571428571428571,11.714285714285714,1.8571428571428572,10.571428571428571,0.2857142857142857,77.85714285714286,12.514285714285714,108.71428571428571,79.71428571428571,973.5714285714286,5.714285714285714,1.4285714285714286,206.64285714285714
Ameer Abdullah,31,LVR,RB,11.692307692307692,1.3846153846153846,31.0,123.23076923076923,0.8461538461538461,16.846153846153847,7.86923076923077,22.076923076923077,47.84615384615385,243.53846153846155,1.3076923076923077,0.5384615384615384,47.96923076923077
Jaleel McLaughlin,24,DEN,RB,16.0,5.0,113.0,76.0,2.0,24.0,3.2,27.0,137.0,572.0,3.0,1.0,97.2
Kyler Murray,27,ARI,QB,13.2,13.2,82.0,1.4,0.0,0.0,,0.0,82.0,496.6,5.4,9.0,64.06
Tutu Atwell,25,LAR,WR,15.333333333333334,7.666666666666667,5.333333333333333,24.0,0.3333333333333333,33.0,14.133333333333333,54.666666666666664,38.333333333333336,471.6666666666667,1.6666666666666667,0.0,90.16666666666667
Devin Singletary,27,NYG,RB,16.2,12.6,170.0,217.8,0.4,33.4,6.460000000000001,42.8,203.4,960.0,4.8,2.4,153.39999999999998
Michael Wilson,24,ARI,WR,16.0,13.0,1.0,7.0,0.0,47.0,11.7,71.0,48.0,555.0,4.0,1.0,124.5
Emanuel Wilson,25,GNB,RB,17.0,0.0,103.0,48.0,1.0,11.0,4.4,14.0,114.0,550.0,5.0,0.0,96.0
Calvin Austin III,25,PIT,WR,17.0,8.0,0.0,0.0,0.0,36.0,15.2,58.0,36.0,548.0,4.0,1.0,112.80000000000001
